Ratio H/L normalized REP_A,Ratio H/L normalized REP_B,Ratio H/L normalized REP_C,Only identified by site,Reverse,Contaminant,Peptides,Sequence coverage [%],Mol. weight [kDa],PEP,Ratio H/L count REP_A,Ratio H/L count REP_B,Ratio H/L count REP_C,Intensity L REP_A,Intensity H REP_A,Intensity L REP_B,Intensity H REP_B,Intensity L REP_C,Intensity H REP_C,Mean,Median,Standard deviation,Coefficient of variation,Median absolute deviation,Minimum,Maximum,Range,Valid values,Protein IDs,Majority protein IDs,Protein names,Gene names,Proteins,Cysteinylation site IDs,Glutathionylation site IDs,Nitro site IDs,Oxidation (M) site IDs,Phospho (STY) site IDs,s-nitrosylation site IDs,GOBP Name,GOBP Name2,GOBP Name3,GOBP Name4,GOBP Name5,GOBP Name6,GOBP Name7,GOBP Name8,GOBP Name9,GOBP Name10,GOBP Name11,GOBP Name12,GOBP Name13,GOBP Name14,GOBP Name15,GOBP Name16,GOBP Name17,GOBP Name18,GOBP Name19,GOBP Name20,GOBP Name21,GOBP Name22,GOBP Name23,GOBP Name24,GOBP Name25,GOBP Name26,GOBP Name27,GOBP Name28,GOBP Name29,GOBP Name30,GOBP Name31,GOBP Name32,GOBP Name33,GOBP Name34,GOBP Name35,GOBP Name36,GOBP Name37,GOBP Name38,GOBP Name39,GOBP Name40,GOBP Name41,GOBP Name42,GOBP Name43,GOBP Name44,GOBP Name45,GOBP Name46,GOBP Name47,GOBP Name48,GOBP Name49,GOBP Name50,GOBP Name51,GOBP Name52,GOBP Name53,GOBP Name54,GOBP Name55,GOBP Name56,GOBP Name57,GOBP Name58,GOBP Name59,GOBP Name60,GOBP Name61,GOBP Name62,GOBP Name63,GOBP Name64,GOBP Name65,GOBP Name66,GOBP Name67,GOBP Name68,GOBP Name69,GOBP Name70,GOBP Name71,GOBP Name72,GOBP Name73,GOBP Name74,GOBP Name75,GOBP Name76,GOBP Name77,GOBP Name78,GOBP Name79,GOBP Name80,GOBP Name81,GOBP Name82
1.90566,1.59765,1.26231,,,,12,25,66.69,2.46E-42,7,10,10,1383100,5028100,2595900,9379900,2201500,7170100,1.58854,1.59765,0.32177,0.202557,0.308009,1.26231,1.90566,0.643346,3,P17812;B4DR64;B7Z9C4;Q9NRF8,P17812;B4DR64,CTP synthase 1,CTPS,4,,,,,,,amine metabolic process,biosynthetic process,carboxylic acid metabolic process,cellular amine metabolic process,cellular amino acid metabolic process,cellular biosynthetic process,cellular ketone metabolic process,cellular metabolic process,cellular nitrogen compound biosynthetic process,cellular nitrogen compound metabolic process,cellular process,CTP biosynthetic process,CTP metabolic process,glutamine family amino acid metabolic process,glutamine metabolic process,heterocycle biosynthetic process,heterocycle metabolic process,metabolic process,nitrogen compound metabolic process,nucleobase-containing compound biosynthetic process,nucleobase-containing compound metabolic process,nucleobase-containing small molecule interconversion,nucleobase-containing small molecule metabolic process,nucleoside metabolic process,nucleoside phosphate metabolic process,nucleoside triphosphate biosynthetic process,nucleoside triphosphate metabolic process,nucleotide biosynthetic process,nucleotide metabolic process,organic acid metabolic process,oxoacid metabolic process,primary metabolic process,pyrimidine nucleoside metabolic process,pyrimidine nucleoside triphosphate biosynthetic process,pyrimidine nucleoside triphosphate metabolic process,pyrimidine nucleotide biosynthetic process,pyrimidine nucleotide metabolic process,pyrimidine ribonucleoside metabolic process,pyrimidine ribonucleoside triphosphate biosynthetic process,pyrimidine ribonucleoside triphosphate metabolic process,pyrimidine ribonucleotide biosynthetic process,pyrimidine ribonucleotide metabolic process,pyrimidine-containing compound biosynthetic process,pyrimidine-containing compound metabolic process,response to chemical stimulus,response to drug,response to stimulus,ribonucleoside metabolic process,ribonucleoside triphosphate biosynthetic process,ribonucleoside triphosphate metabolic process,ribonucleotide biosynthetic process,ribonucleotide metabolic process,small molecule metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.57609,NaN,1.53695,,,,3,8.6,51.582,2.56E-09,5,1,5,776010,3062900,232410,1203600,1127000,3503700,1.55652,1.55652,0.0276752,0.0177802,0.0195693,1.53695,1.57609,0.0391387,2,Q9NYL2-2;Q9NYL2;B4DQ47;Q9NYL2-3;C9J3F7,Q9NYL2-2;Q9NYL2;B4DQ47;Q9NYL2-3;C9J3F7,Mitogen-activated protein kinase kinase kinase MLT,MLTK;ZAK,5,,,,,,,activation of JUN kinase activity,activation of MAPK activity,biological regulation,cell cycle arrest,cell cycle checkpoint,cell cycle process,cell death,cell differentiation,cell proliferation,cellular developmental process,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,cellular response to stimulus,cellular response to stress,death,developmental process,DNA damage checkpoint,DNA integrity checkpoint,macromolecule metabolic process,macromolecule modification,metabolic process,negative regulation of biological process,negative regulation of cell cycle,negative regulation of cellular process,phosphate-containing compound metabolic process,phosphorus metabolic process,phosphorylation,positive regulation of apoptosis,positive regulation of biological process,positive regulation of catalytic activity,positive regulation of cell death,positive regulation of cellular process,positive regulation of JUN kinase activity,positive regulation of kinase activity,positive regulation of MAP kinase activity,positive regulation of molecular function,positive regulation of programmed cell death,positive regulation of protein kinase activity,positive regulation of protein serine/threonine kinase activity,positive regulation of transferase activity,primary metabolic process,protein metabolic process,protein modification process,protein phosphorylation,regulation of apoptosis,regulation of biological process,regulation of catalytic activity,regulation of cell cycle,regulation of cell cycle arrest,regulation of cell cycle process,regulation of cell death,regulation of cellular metabolic process,regulation of cellular process,regulation of cellular protein metabolic process,regulation of cellular response to stress,regulation of intracellular protein kinase cascade,regulation of JNK cascade,regulation of JUN kinase activity,regulation of kinase activity,regulation of macromolecule metabolic process,regulation of MAP kinase activity,regulation of MAPKKK cascade,regulation of metabolic process,regulation of molecular function,regulation of phosphate metabolic process,regulation of phosphorus metabolic process,regulation of phosphorylation,regulation of primary metabolic process,regulation of programmed cell death,reg,,,,,,,,,,
1.63538,1.43627,NaN,,,,2,9.2,24.279,3.57E-05,2,2,1,170870,748210,287400,783500,112320,333670,1.53583,1.53583,0.140795,0.0916739,0.0995572,1.43627,1.63538,0.199114,2,Q9HAV7,Q9HAV7,"GrpE protein homolog 1, mitochondrial",GRPEL1,1,,,,,,,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,establishment of localization,establishment of localization in cell,establishment of protein localization,establishment of protein localization in mitochondrion,establishment of protein localization to organelle,intracellular protein transmembrane transport,intracellular protein transport,intracellular transport,macromolecule metabolic process,metabolic process,mitochondrial transport,primary metabolic process,protein folding,protein import,protein import into mitochondrial matrix,protein metabolic process,protein targeting,protein targeting to mitochondrion,protein transmembrane transport,protein transport,transmembrane transport,transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75984,1.29819,1.53889,,,,6,32.2,15.144,9.81E-129,3,2,3,839780,3341000,215080,546560,1205500,3514500,1.5323,1.53889,0.230895,0.150685,0.220952,1.29819,1.75984,0.461649,3,P16104;Q96QV6,P16104;Q96QV6,Histone H2A.x;Histone H2A type 1-A,H2AFX;HIST1H2AA,2,,,,,,,biological regulation,cell cycle checkpoint,cell cycle phase,cell cycle process,cellular component assembly,cellular component assembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex assembly,cellular macromolecular complex subunit organization,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular response to stimulus,cellular response to stress,chromatin organization,chromosome organization,DNA damage checkpoint,DNA integrity checkpoint,DNA metabolic process,DNA recombination,DNA repair,double-strand break repair,double-strand break repair via homologous recombination,macromolecular complex assembly,macromolecular complex subunit organization,macromolecule metabolic process,meiosis,metabolic process,nitrogen compound metabolic process,nucleic acid metabolic process,nucleobase-containing compound metabolic process,nucleosome assembly,nucleosome organization,organelle organization,positive regulation of biological process,positive regulation of cellular metabolic process,positive regulation of cellular process,positive regulation of DNA metabolic process,positive regulation of DNA repair,positive regulation of macromolecule metabolic process,positive regulation of metabolic process,positive regulation of nitrogen compound metabolic process,positive regulation of nucleobase-containing compound metabolic process,positive regulation of response to DNA damage stimulus,positive regulation of response to stimulus,primary metabolic process,protein-DNA complex assembly,protein-DNA complex subunit organization,recombinational repair,regulation of biological process,regulation of cell cycle,regulation of cell cycle arrest,regulation of cell cycle process,regulation of cellular metabolic process,regulation of cellular process,regulation of cellular response to stress,regulation of DNA metabolic process,regulation of DNA repair,regulation of macromolecule metabolic process,regulation of metabolic process,regulation of nitrogen compound metabolic process,regulation of nucleobase-containing compound meta,,,,,,,,,,,,,,,,
1.02793,1.83281,1.53551,,,,4,31.2,13.553,1.41E-28,6,6,5,3076100,9034300,3514100,14212000,5186300,11776000,1.46542,1.53551,0.40699,0.27773,0.297303,1.02793,1.83281,0.804876,3,P0C0S5;Q71UI9;C9J0D1;Q71UI9-2;Q71UI9-4;Q71UI9-3;C9J386;A8MQC5,P0C0S5;Q71UI9;C9J0D1;Q71UI9-2;Q71UI9-4;Q71UI9-3;C9J386,Histone H2A.Z;Histone H2A.V;Histone H2A,H2AFZ;H2AFV,8,,,,,,,cellular component assembly,cellular component assembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex assembly,cellular macromolecular complex subunit organization,cellular process,chromatin organization,chromosome organization,macromolecular complex assembly,macromolecular complex subunit organization,nucleosome assembly,nucleosome organization,organelle organization,protein-DNA complex assembly,protein-DNA complex subunit organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72666,1.39468,1.23063,,,,3,8.1,49.797,4.82E-55,2,2,2,618590,2022600,490260,1563100,650680,1762300,1.45066,1.39468,0.252705,0.174201,0.164045,1.23063,1.72666,0.496024,3,Q9Y4P3;E9PF19;C9JVF0;F8WDI9;F8WCR3,Q9Y4P3;E9PF19;C9JVF0,Transducin beta-like protein 2,TBL2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.893828,1.85056,1.56998,,,,9,27.9,24.722,6.00E-121,11,18,11,17297000,30315000,15034000,42043000,18625000,37732000,1.43812,1.56998,0.491806,0.341978,0.280582,0.893828,1.85056,0.956731,3,P04179;B3KUK2;F5GYZ5;P04179-2;F5H4R2;F5H3C5;G8JLJ2;B4E3K9;F5GXZ9;G5E9P6,P04179;B3KUK2;F5GYZ5;P04179-2;F5H4R2;F5H3C5;G8JLJ2;B4E3K9,"Superoxide dismutase [Mn], mitochondrial;Superoxide dismutase",SOD2,10,,,,,,,age-dependent response to oxidative stress,age-dependent response to reactive oxygen species,apoptotic mitochondrial changes,biological regulation,cellular component assembly,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular metabolic process,cellular process,cellular response to chemical stimulus,cellular response to oxidative stress,cellular response to oxygen radical,cellular response to reactive oxygen species,cellular response to stimulus,cellular response to stress,cellular response to superoxide,chemical homeostasis,circulatory system process,gas homeostasis,homeostatic process,macromolecular complex assembly,macromolecular complex subunit organization,metabolic process,mitochondrion organization,multicellular organismal process,negative regulation of apoptosis,negative regulation of biological process,negative regulation of blood pressure,negative regulation of cell death,negative regulation of cell proliferation,negative regulation of cellular process,negative regulation of neuron apoptosis,negative regulation of programmed cell death,negative regulation of systemic arterial blood pressure,organelle organization,oxygen homeostasis,protein complex assembly,protein complex subunit organization,protein homooligomerization,protein homotetramerization,protein oligomerization,protein tetramerization,reactive oxygen species metabolic process,regulation of anatomical structure size,regulation of apoptosis,regulation of biological process,regulation of biological quality,regulation of biosynthetic process,regulation of blood pressure,regulation of blood vessel size,regulation of cell death,regulation of cell proliferation,regulation of cellular biosynthetic process,regulation of cellular macromolecule biosynthetic process,regulation of cellular metabolic process,regulation of cellular process,regulation of gene expression,regulation of macromolecule biosynthetic process,regulation of macromolecule metabolic process,regulation of metabolic process,regulation of neuron apoptosis,regulation of nitrogen compound metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of primary metabo,,,,,,,,,,,,,,,,
1.15179,1.41381,1.72984,,,,9,39.1,24.893,7.53E-63,10,11,6,3223400,8002900,5906100,17285000,1542500,5439000,1.43181,1.41381,0.289441,0.20215,0.262017,1.15179,1.72984,0.578042,3,P09429;Q5T7C6;Q5T7C4;B2RPK0;Q5T7C0;P23497,P09429;Q5T7C6;Q5T7C4;B2RPK0;Q5T7C0,High mobility group protein B1;Putative high mobility group protein B1-like 1,HMGB1;HMGB1P1,6,,,,428,,,"base-excision repair, DNA ligation",biological regulation,catabolic process,cell activation,cell chemotaxis,cell migration,cell motility,cell projection organization,cell surface receptor linked signaling pathway,cellular catabolic process,cellular component movement,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular response to chemical stimulus,cellular response to cytokine stimulus,cellular response to interferon-gamma,cellular response to organic substance,cellular response to stimulus,cellular response to stress,cellular response to type I interferon,chemotaxis,cytokine-mediated signaling pathway,defense response,dendritic cell chemotaxis,DNA catabolic process,"DNA catabolic process, endonucleolytic",DNA conformation change,"DNA damage response, signal transduction by p53 class mediator","DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator","DNA damage response, signal transduction resulting in transcription",DNA fragmentation involved in apoptotic nuclear change,DNA ligation,DNA ligation involved in DNA repair,DNA metabolic process,DNA recombination,DNA topological change,immune response,immune system process,inflammatory response,inflammatory response to antigenic stimulus,innate immune response,interferon-gamma-mediated signaling pathway,interspecies interaction between organisms,intracellular receptor mediated signaling pathway,intracellular signal transduction,leukocyte activation,leukocyte chemotaxis,leukocyte migration,locomotion,macromolecule catabolic process,macromolecule metabolic process,metabolic process,multi-organism process,myeloid dendritic cell activation,myeloid leukocyte activation,negative regulation of binding,negative regulation of biological process,negative regulation of biosynthetic process,negative regulation of cellular biosynthetic process,negative regulation of cellular component movement,negative regulation of cellular component organization,negative regulation of,,,,,,,,,,,,,
1.27262,1.43675,1.41733,,,,8,32.3,22.58,2.33E-54,15,15,13,4289000,12050000,5870200,20174000,5579700,16955000,1.37556,1.41733,0.0896798,0.0651949,0.0194222,1.27262,1.43675,0.164128,3,P16401,P16401,Histone H1.5,HIST1H1B,1,,,,,,,cellular component assembly,cellular component assembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex assembly,cellular macromolecular complex subunit organization,cellular process,chromatin organization,chromosome organization,macromolecular complex assembly,macromolecular complex subunit organization,nucleosome assembly,nucleosome organization,organelle organization,protein-DNA complex assembly,protein-DNA complex subunit organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2679,1.43061,NaN,,,,2,10.7,28.768,1.72E-33,2,2,1,570770,1646300,535160,1993100,455910,1164900,1.34925,1.34925,0.115054,0.0852727,0.0813556,1.2679,1.43061,0.162711,2,P12004,P12004,Proliferating cell nuclear antigen,PCNA,1,,,,,,,anatomical structure homeostasis,biological regulation,biosynthetic process,cell cycle phase,cell cycle process,cell proliferation,cellular biosynthetic process,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecule biosynthetic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular response to stimulus,cellular response to stress,chromosome organization,DNA biosynthetic process,DNA metabolic process,DNA recombination,DNA repair,DNA replication,DNA strand elongation,DNA strand elongation involved in DNA replication,DNA-dependent DNA replication,homeostatic process,inositol lipid-mediated signaling,intracellular signal transduction,macromolecule biosynthetic process,macromolecule metabolic process,metabolic process,mismatch repair,mitotic recombination,nitrogen compound metabolic process,nucleic acid metabolic process,nucleobase-containing compound metabolic process,nucleotide-excision repair,"nucleotide-excision repair, DNA gap filling",organelle organization,phosphatidylinositol-mediated signaling,positive regulation of catalytic activity,positive regulation of deoxyribonuclease activity,positive regulation of hydrolase activity,positive regulation of molecular function,positive regulation of nuclease activity,postreplication repair,primary metabolic process,regulation of biological process,regulation of biological quality,regulation of biosynthetic process,regulation of catalytic activity,regulation of cellular biosynthetic process,regulation of cellular macromolecule biosynthetic process,regulation of cellular metabolic process,regulation of cellular process,regulation of deoxyribonuclease activity,regulation of DNA metabolic process,regulation of DNA replication,regulation of gene expression,regulation of hydrolase activity,regulation of macromolecule biosynthetic process,regulation of macromolecule metabolic process,regulation of metabolic process,regulation of molecular function,regulation of nitrogen compound metabolic process,regulation of nuclease activity,regulation of nucleobase-containing compound metabolic,,,,,,,,,,,,,
0.813607,1.96717,1.25755,,,,10,16.4,66.408,1.83E-62,7,3,2,2921500,3788500,611710,2776400,299940,933990,1.34611,1.25755,0.581857,0.432251,0.443947,0.813607,1.96717,1.15356,3,P20700;E9PBF6,P20700;E9PBF6,Lamin-B1,LMNB1,2,,,,,,,cellular component disassembly,cellular component disassembly at cellular level,cellular component disassembly involved in apoptosis,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00411,NaN,1.6378,,,,3,7.5,88.549,4.19E-24,2,0,3,191480,613240,0,0,457980,2310900,1.32095,1.32095,0.448086,0.339215,0.316845,1.00411,1.6378,0.63369,2,Q13263;Q13263-2,Q13263;Q13263-2,Transcription intermediary factor 1-beta,TRIM28,2,,,,,,,anatomical structure morphogenesis,biological regulation,biosynthetic process,cell morphogenesis,cell morphogenesis involved in differentiation,cellular biosynthetic process,cellular component assembly,cellular component morphogenesis,cellular component organization,cellular component organization or biogenesis,cellular developmental process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular protein metabolic process,cellular response to stimulus,cellular response to stress,developmental process,DNA metabolic process,DNA repair,epithelial to mesenchymal transition,macromolecular complex assembly,macromolecular complex subunit organization,macromolecule metabolic process,macromolecule modification,metabolic process,nitrogen compound metabolic process,nucleic acid metabolic process,nucleobase-containing compound metabolic process,positive regulation of biological process,positive regulation of biosynthetic process,positive regulation of cellular biosynthetic process,positive regulation of cellular metabolic process,positive regulation of cellular process,positive regulation of DNA metabolic process,positive regulation of DNA repair,positive regulation of gene expression,positive regulation of macromolecule biosynthetic process,positive regulation of macromolecule metabolic process,positive regulation of metabolic process,positive regulation of nitrogen compound metabolic process,positive regulation of nucleobase-containing compound metabolic process,positive regulation of response to DNA damage stimulus,positive regulation of response to stimulus,positive regulation of RNA metabolic process,"positive regulation of transcription, DNA-dependent",primary metabolic process,protein complex assembly,protein complex subunit organization,protein metabolic process,protein modification by small protein conjugation,protein modification by small protein conjugation or removal,protein modification process,protein oligomerization,protein sumoylation,regulation of biological process,regulation of biosynthetic process,regulation of cellular biosynthetic process,regulation of cellular macromolecule biosynthetic process,regulation of cellular metabolic process,regulation of cellular process,regulati,,,,,,,,,,,,,,,,,,,
0.939076,1.63283,1.34647,,,,3,23.8,30.221,1.38E-27,7,11,7,3501100,6209300,2702200,6989300,2483100,5675400,1.30613,1.34647,0.348631,0.26692,0.286352,0.939076,1.63283,0.693751,3,B7Z6C0;P52943;H0YFA4;H0YHD8,B7Z6C0;P52943;H0YFA4,Cysteine-rich protein 2,CRIP2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.40158,1.3799,1.10252,,,,7,26.5,23.466,8.64E-26,20,18,17,5784200,13630000,6679300,17495000,4929800,10939000,1.29467,1.3799,0.166753,0.1288,0.0216777,1.10252,1.40158,0.299052,3,P84098;J3KTE4;J3QR09;J3QL15,P84098;J3KTE4;J3QR09,60S ribosomal protein L19,RPL19,4,,,,212;213,,,biosynthetic process,catabolic process,cellular biosynthetic process,cellular catabolic process,cellular component disassembly,cellular component disassembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex disassembly,cellular macromolecular complex subunit organization,cellular macromolecule biosynthetic process,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular process involved in reproduction,cellular protein complex disassembly,cotranslational protein targeting to membrane,establishment of localization,establishment of localization in cell,establishment of protein localization,establishment of protein localization in endoplasmic reticulum,establishment of protein localization to organelle,intracellular protein transport,intracellular transport,macromolecular complex disassembly,macromolecular complex subunit organization,macromolecule biosynthetic process,macromolecule catabolic process,macromolecule metabolic process,metabolic process,mRNA catabolic process,mRNA metabolic process,nitrogen compound metabolic process,nuclear-transcribed mRNA catabolic process,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",nucleic acid metabolic process,nucleobase-containing compound metabolic process,primary metabolic process,protein complex disassembly,protein complex subunit organization,protein targeting,protein targeting to ER,protein targeting to membrane,protein transport,reproductive process,RNA biosynthetic process,RNA catabolic process,RNA metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,translational initiation,translational termination,transport,viral transcription,,,,,,,,,,,,,,,,,,,,,,,,
1.227,1.27471,1.34307,,,,2,35.7,8.2178,5.27E-11,3,3,3,2079900,6199200,1863100,5581400,2074300,6162900,1.28159,1.27471,0.0583379,0.0455198,0.0477073,1.227,1.34307,0.116065,3,P63173;J3QL01;J3KT73;J3KSP2,P63173;J3QL01;J3KT73;J3KSP2,60S ribosomal protein L38,RPL38,4,,,,,,,biosynthetic process,catabolic process,cellular biosynthetic process,cellular catabolic process,cellular component disassembly,cellular component disassembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex disassembly,cellular macromolecular complex subunit organization,cellular macromolecule biosynthetic process,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular process involved in reproduction,cellular protein complex disassembly,cotranslational protein targeting to membrane,establishment of localization,establishment of localization in cell,establishment of protein localization,establishment of protein localization in endoplasmic reticulum,establishment of protein localization to organelle,intracellular protein transport,intracellular transport,macromolecular complex disassembly,macromolecular complex subunit organization,macromolecule biosynthetic process,macromolecule catabolic process,macromolecule metabolic process,metabolic process,mRNA catabolic process,mRNA metabolic process,nitrogen compound metabolic process,nuclear-transcribed mRNA catabolic process,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",nucleic acid metabolic process,nucleobase-containing compound metabolic process,primary metabolic process,protein complex disassembly,protein complex subunit organization,protein targeting,protein targeting to ER,protein targeting to membrane,protein transport,reproductive process,RNA biosynthetic process,RNA catabolic process,RNA metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,translational initiation,translational termination,transport,viral transcription,,,,,,,,,,,,,,,,,,,,,,,,
0.907429,1.5367,1.36081,,,,9,52.9,15.693,2.73E-65,9,11,9,6927300,14985000,6041300,21540000,4301700,13237000,1.26831,1.36081,0.324673,0.255988,0.175886,0.907429,1.5367,0.62927,3,P29373;Q5SYZ4;P29762;B5MCB5,P29373;Q5SYZ4,Cellular retinoic acid-binding protein 2,CRABP2,4,,,,624,,,anatomical structure development,biological regulation,cellular process,cellular response to stimulus,developmental process,epidermis development,multicellular organismal development,multicellular organismal process,regulation of biological process,regulation of biosynthetic process,regulation of cellular biosynthetic process,regulation of cellular macromolecule biosynthetic process,regulation of cellular metabolic process,regulation of cellular process,regulation of gene expression,regulation of macromolecule biosynthetic process,regulation of macromolecule metabolic process,regulation of metabolic process,regulation of nitrogen compound metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of primary metabolic process,regulation of RNA metabolic process,"regulation of transcription, DNA-dependent",response to stimulus,signal transduction,tissue development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,1.24464,1.28149,,,,2,18.9,14.395,1.97E-07,0,2,2,0,0,1025000,1807800,601480,1892000,1.26307,1.26307,0.0260548,0.0206282,0.0184235,1.24464,1.28149,0.036847,2,P53999,P53999,Activated RNA polymerase II transcriptional coactivator p15,SUB1,1,,,,,,,biological regulation,biosynthetic process,cellular biosynthetic process,cellular macromolecule biosynthetic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,macromolecule biosynthetic process,macromolecule metabolic process,metabolic process,nitrogen compound metabolic process,nucleic acid metabolic process,nucleobase-containing compound metabolic process,primary metabolic process,regulation of biological process,regulation of biosynthetic process,regulation of cellular biosynthetic process,regulation of cellular macromolecule biosynthetic process,regulation of cellular metabolic process,regulation of cellular process,regulation of gene expression,regulation of macromolecule biosynthetic process,regulation of macromolecule metabolic process,regulation of metabolic process,regulation of nitrogen compound metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of primary metabolic process,regulation of RNA metabolic process,regulation of transcription from RNA polymerase II promoter,"regulation of transcription, DNA-dependent",RNA biosynthetic process,RNA metabolic process,"transcription, DNA-dependent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.28582,1.24105,1.18853,,,,9,31.1,31.088,4.15E-94,10,12,12,5201000,10359000,5794500,17836000,8541600,13437000,1.23846,1.24105,0.0486958,0.0393196,0.0447695,1.18853,1.28582,0.0972888,3,E9PIE3;Q969G5,E9PIE3;Q969G5,Protein kinase C delta-binding protein,PRKCDBP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.878608,1.83847,0.949124,,,,5,34.4,18.565,6.09E-62,8,9,8,4850600,8600400,4622200,10841000,5461800,11807000,1.22207,0.949124,0.534982,0.437769,0.0705163,0.878608,1.83847,0.95986,3,P46778;G3V1B3,P46778;G3V1B3,60S ribosomal protein L21,RPL21,2,,,,721,,,biosynthetic process,catabolic process,cellular biosynthetic process,cellular catabolic process,cellular component disassembly,cellular component disassembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex disassembly,cellular macromolecular complex subunit organization,cellular macromolecule biosynthetic process,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular process involved in reproduction,cellular protein complex disassembly,cellular protein metabolic process,cotranslational protein targeting to membrane,establishment of localization,establishment of localization in cell,establishment of protein localization,establishment of protein localization in endoplasmic reticulum,establishment of protein localization to organelle,intracellular protein transport,intracellular transport,macromolecular complex disassembly,macromolecular complex subunit organization,macromolecule biosynthetic process,macromolecule catabolic process,macromolecule metabolic process,metabolic process,mRNA catabolic process,mRNA metabolic process,nitrogen compound metabolic process,nuclear-transcribed mRNA catabolic process,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",nucleic acid metabolic process,nucleobase-containing compound metabolic process,primary metabolic process,protein complex disassembly,protein complex subunit organization,protein metabolic process,protein targeting,protein targeting to ER,protein targeting to membrane,protein transport,reproductive process,RNA biosynthetic process,RNA catabolic process,RNA metabolic process,SRP-dependent cotranslational protein targeting to membrane,translation,translational elongation,translational initiation,translational termination,transport,viral transcription,,,,,,,,,,,,,,,,,,,,,
